Date,Open,High,Low,Close
08-Jun-10,5786.15,5821.55,5727.35,5740.7
09-Jun-10,5744.55,5765.3,5658.85,5670.4
10-Jun-10,5668.15,5747.05,5668.15,5735.1
11-Jun-10,5776,5801.5,5714.7,5739.25
14-Jun-10,5778.85,5965.2,5778.85,5945.25
15-Jun-10,5914.35,5959.2,5899.35,5916.75
16-Jun-10,5961.35,5994.3,5942.65,5969.9
17-Jun-10,5985.15,5996.75,5912.8,5975.9
18-Jun-10,5975.05,6064,5970.55,6006.95
21-Jun-10,6018.3,6071.75,6018.3,6037.25
22-Jun-10,6004.8,6010.75,5953.4,5958.55
23-Jun-10,5930.45,6016.35,5924.7,6007.65
24-Jun-10,6005.2,6023.1,5958.45,6014.6
25-Jun-10,6001.15,6001.15,5908.05,5921.75
28-Jun-10,5929.5,5990.45,5929.5,5979.6
29-Jun-10,5968.5,5968.5,5892.3,5934.15
30-Jun-10,5877.8,5949.6,5837,5928.3
01-Jul-10,5893.65,5893.65,5842.65,5861.25
02-Jul-10,5869.2,5869.2,5800.4,5836.3
05-Jul-10,5837.55,5876.75,5832.15,5862.6
06-Jul-10,5860.9,5975.65,5859.7,5959.55
07-Jul-10,5957.55,5964.45,5921.45,5954.4
08-Jul-10,5980.05,6069.3,5980.05,6041.3
09-Jul-10,6064.75,6123.1,6064.75,6108.4
12-Jul-10,6129.3,6196.4,6128.65,6185.65
13-Jul-10,6150.2,6150.2,5996.5,6028.05
14-Jul-10,6058.45,6063.85,5936.55,5952.45
15-Jul-10,5953.75,5997.25,5950.5,5985.5
16-Jul-10,6013.2,6094.35,6013.2,6086.1
19-Jul-10,6044,6107.2,6020.6,6072.8
20-Jul-10,6089.3,6091.75,6042.4,6052.5
21-Jul-10,6060.8,6102,6060.8,6097.45
22-Jul-10,6076.2,6084.65,6026.75,6076.25
23-Jul-10,6134.7,6134.7,6086.2,6100.4
26-Jul-10,6103.9,6141.9,6103.9,6131.35
27-Jul-10,6145.6,6187.3,6142,6168.65
28-Jul-10,6166.05,6176.7,6132.65,6161.4
29-Jul-10,6146.05,6165.4,6140.85,6152.35
30-Jul-10,6139.25,6144.25,6045.6,6086.85
02-Aug-10,6102.1,6129.9,6088.1,6104.35
03-Aug-10,6118.2,6132.2,6056.65,6077
04-Aug-10,6102.75,6297.1,6102.75,6274.2
05-Aug-10,6280.5,6344.35,6280.5,6288.7
06-Aug-10,6289,6333.1,6241.8,6259.9
09-Aug-10,6233.8,6320.2,6218.65,6306.85
10-Aug-10,6297.6,6297.6,6196.15,6216
11-Aug-10,6213.6,6233.4,6143.75,6161.3
12-Aug-10,6111.95,6111.95,6057.05,6091.05
13-Aug-10,6096.75,6162.8,6080.25,6116.7
16-Aug-10,6086.8,6126.4,6067.4,6086.85
17-Aug-10,6068.8,6119.2,6035.1,6059.5
18-Aug-10,6082.35,6207.8,6082.35,6184.4
19-Aug-10,6208.9,6216.55,6159.85,6183.9
20-Aug-10,6163.45,6163.45,6104.2,6128.6
23-Aug-10,6131.55,6190.85,6123.9,6178.95
24-Aug-10,6161.45,6161.45,6107.6,6117.6
25-Aug-10,6116.05,6151.2,6098.95,6109.95
26-Aug-10,6124.2,6131.6,6088.75,6116.15
27-Aug-10,6116.05,6116.05,5984.4,6005.9
30-Aug-10,6034.7,6057.9,5927.2,5971.25
31-Aug-10,5936.5,5987.8,5908.7,5974.9
01-Sep-10,5975.05,6093.6,5974.6,6086.45
02-Sep-10,6140.25,6140.25,6040.75,6055.2
03-Sep-10,6063.55,6133.85,6063.5,6076.1
06-Sep-10,6125.6,6198.05,6125.6,6184.45
07-Sep-10,6189.95,6268.3,6166.5,6253.65
08-Sep-10,6212.4,6296.3,6191,6287.7
09-Sep-10,6273.45,6316.2,6265.15,6302
13-Sep-10,6308.6,6382.45,6308.6,6358.15
14-Sep-10,6404.1,6474.1,6397.9,6441.75
15-Sep-10,6447.85,6617.7,6447.85,6602
16-Sep-10,6575.15,6575.15,6437.4,6447.25
17-Sep-10,6475.1,6550.95,6465.65,6477.85
20-Sep-10,6488.2,6541.95,6488.2,6528.45
21-Sep-10,6553.75,6685.8,6527.25,6673.3
22-Sep-10,6678.35,6679.05,6553.7,6594.6
23-Sep-10,6572.1,6608.3,6528.05,6596.4
24-Sep-10,6579.2,6647.85,6553.5,6634.7
27-Sep-10,6654.7,6661.65,6587.25,6600.75
28-Sep-10,6584.85,6600.55,6540.6,6560.5
29-Sep-10,6586.25,6662.9,6533.8,6578.6
30-Sep-10,6583.75,6645.55,6532.15,6613.4
01-Oct-10,6616.15,6768.6,6585.35,6759.15
04-Oct-10,6780.7,6866.8,6710.7,6733.35
05-Oct-10,6720.15,6788.6,6720.1,6732.8
06-Oct-10,6759.15,6814.4,6738.1,6776.85
07-Oct-10,6759.25,6769.25,6660.2,6681.45
08-Oct-10,6699.2,6720.8,6643.4,6710.65
11-Oct-10,6743.15,6757.75,6672.05,6716.25
12-Oct-10,6718.2,6750.2,6686.55,6724.15
13-Oct-10,6753.9,6936.15,6731.25,6924.75
14-Oct-10,6946.7,7053.45,6932.35,6952.8
15-Oct-10,7031.4,7036.1,6704.15,6730.1
18-Oct-10,6760.4,6834.9,6650.7,6814
19-Oct-10,6804,6807.6,6649.5,6663
20-Oct-10,6651.1,6720.1,6628.6,6652.3
21-Oct-10,6645.75,6722.45,6614.35,6715.3
22-Oct-10,6717.65,6830.15,6717.65,6777.1
25-Oct-10,6785.7,6827.1,6737.5,6751.8
26-Oct-10,6742.45,6770.45,6709.45,6736.85
27-Oct-10,6720.3,6731.45,6648.8,6663.65
28-Oct-10,6674.9,6739.6,6592.25,6632.55
29-Oct-10,6666.45,6666.45,6554.4,6613.25
01-Nov-10,6637.7,6717.2,6637.7,6670
02-Nov-10,6674.3,6723.75,6637.95,6712.7
03-Nov-10,6721.85,6783.55,6701.75,6721.25
04-Nov-10,6762.6,6834.85,6761.5,6818.65
05-Nov-10,6848,6863.75,6830.45,6841.15
08-Nov-10,6847.95,6847.95,6711.8,6723.6
09-Nov-10,6759.9,6837.4,6744.95,6811.7
10-Nov-10,6800.65,6891.55,6780.25,6851.55
11-Nov-10,6851.35,6853.9,6751.9,6762.7
12-Nov-10,6739.1,6753.75,6644.7,6663.2
15-Nov-10,6676.6,6752.35,6635.95,6733
16-Nov-10,6715.6,6719.15,6561.4,6608.3
18-Nov-10,6676.45,6691.6,6594.05,6631
19-Nov-10,6615.9,6632.8,6482.8,6503.5
22-Nov-10,6519.7,6696.8,6519.7,6666.55
23-Nov-10,6639.5,6687.15,6532.1,6619.85
24-Nov-10,6626.65,6636.65,6514.7,6540.75
25-Nov-10,6559.2,6739.6,6559.2,6617.9
26-Nov-10,6631.45,6694.25,6590.75,6615.4
29-Nov-10,6659.55,6711.5,6638.9,6688.9
30-Nov-10,6645,6745.65,6602.95,6703.6
01-Dec-10,6690.2,6744.3,6690.2,6723.3
02-Dec-10,6751.8,6844.15,6715.5,6827.6
03-Dec-10,6833.65,6906.55,6833.65,6856.65
06-Dec-10,6870.25,6951.45,6865.15,6890.55
07-Dec-10,6890.1,6957.9,6881,6932.3
